"id";"nom";"slug";"categorie";"photo";"description";"origine";"origine_affichee";"matiere";"densite";"style";"velours";"tissage";"tailles_disponibles";"entretien";"contenu";"prix";"histoire";"coup_de_coeur";"ruban";"nom_en"
"roja";"Roy Farshi · Surtapis";"roy-farshi-surtapis";"Textiles & Décor";"roja.jpg";"Le surtapis rouge qu'on pose sur le grand tapis, pour réchauffer un coin ou la place d'honneur.";"Oriental";"Oriental";"Velours, motif médaillon";"";"Velours";"";"";"≈ 230 × 150 cm";"";"";"sur demande";"";"";"";"Roy Farshi · Rug Topper"
"bale";"Balesht & Coussins";"balesht-coussins";"Textiles & Décor";"bale.jpg";"Coussins de sol et traversins, à assortir au toshak ou à semer sur le canapé.";"Oriental";"Oriental";"Velours façonné";"";"Assortis";"";"";"";"";"Coussins & traversins";"sur demande";"";"";"";"Balesht & Cushions"
"cutl";"Service de Couverts Doré";"service-de-couverts-dore";"Art de la Table";"cutl.jpg";"Le service qu'on sort pour les grandes tablées : couverts dorés sur présentoir, pour 6 ou 12.";"Art de la table";"Art de la table";"Inox finition or, support";"";"6 ou 12 personnes";"";"";"";"";"6 ou 12 couverts";"sur demande";"";"oui";"Doré";"Gilded Cutlery Service"
"tray";"Plateaux de Présentation";"plateaux-de-presentation";"Art de la Table";"tray.jpg";"Plateaux ciselés pour les fruits secs, les douceurs, le thé. Trois tailles, un même raffinement.";"Art de la table";"Art de la table";"Métal ouvragé";"";"26 / 25 / 42 cm";"";"";"26 · 25 · 42 cm";"";"";"sur demande";"";"";"";"Presentation Trays"
"therm";"Thermos & Service à Thé";"thermos-service-a-the";"Art de la Table";"therm.jpg";"Le thé reste chaud, le service reste beau. L'essentiel de l'hospitalité, du matin au soir.";"Art de la table";"Art de la table";"Inox isotherme, verres";"";"Oriental";"";"";"";"";"Thermos + verres";"sur demande";"";"";"";"Thermos & Tea Service"
"k-plates";"Coupelles Carrées Argentées";"coupelles-carrees-argentees";"Art de la Table";"k-plates.jpg";"Quatre tailles emboîtables à liseré argent, pour servir fruits secs, douceurs et amuse-bouches.";"Art de la table";"Art de la table";"Bordure chaînette argent";"";"33 / 24 / 17 / 15 cm";"";"";"33 · 24 · 17 · 15 cm";"";"";"sur demande";"";"";"";"Silver-rim Square Bowls"
"k-knives";"Bloc Couteaux 8 Pièces";"bloc-couteaux-8-pieces";"Art de la Table";"k-knives.jpg";"Couteaux de cuisine sur socle pivotant en inox — la pièce pratique qui reste belle sur le plan de travail.";"Art de la table";"Art de la table";"Inox, manches noirs, socle pivotant";"";"Support pivotant";"";"";"";"";"7 couteaux + ciseaux";"sur demande";"";"oui";"Cuisine";"8-Piece Knife Block"
"k-dishes";"Plats de Service Compartimentés";"plats-de-service-compartimentes";"Art de la Table";"k-dishes.jpg";"Raviers à deux compartiments, finition argent ou or, pour présenter mezzé et fruits secs côte à côte.";"Art de la table";"Art de la table";"Porcelaine, anses métal";"";"Argent ou or · 39 × 23 cm";"";"";"39 × 23 cm";"";"";"sur demande";"";"";"";"Divided Serving Dishes"
"alm";"Amandes de Kandahar";"amandes-de-kandahar";"Fruits Secs d'Afghanistan";"alm.jpg";"Les amandes douces de Kandahar, réputées dans tout l'Orient. Croquantes, fines, naturelles.";"Afghanistan · Bio";"Afghanistan · Bio";"";"";"Fruits à coque";"";"";"";"";"Amandes, sachet";"sur demande";"";"oui";"";"Kandahar Almonds"
"pist";"Pistaches & Noix";"pistaches-noix";"Fruits Secs d'Afghanistan";"pist.jpg";"Pistaches et cerneaux de noix, pour le plateau du soir ou la pâtisserie maison.";"Afghanistan · Bio";"Afghanistan · Bio";"";"";"Mélange";"";"";"";"";"Pistaches, noix";"sur demande";"";"";"";"Pistachios & Walnuts"
"box";"Coffret Fruits Secs";"coffret-fruits-secs";"Fruits Secs d'Afghanistan";"box.jpg";"Mûres, abricots, raisins et fruits à coque, présentés sur un plateau ciselé. Le cadeau de Yalda, de Nowruz, ou simplement de l'amitié.";"Afghanistan · Bio";"Afghanistan · Bio";"";"";"À offrir";"";"";"";"";"Assortiment + plateau";"sur demande";"";"oui";"Cadeau";"Dried Fruit Gift Box"
"ir-1";"Tapis Persan Bleu";"tapis-persan-bleu";"Tapis & Qali";"ir-1.jpg";"Champ bleu profond, médaillon central et bordure travaillée — la fraîcheur d'un grand classique persan.";"Iran";"Iran · Persan";"Polypropylène haute densité";"700 · 1200 · 1500 shana";"Médaillon";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"";"";"Blue Persian Rug"
"ir-2";"Tapis Persan Rouge Royal";"tapis-persan-rouge-royal";"Tapis & Qali";"ir-2.jpg";"Rouge soutenu, médaillon crème et fleurs sur tout le champ. Il réchauffe une pièce d'un coup.";"Iran";"Iran · Persan";"Polypropylène haute densité";"700 · 1200 · 1500 shana";"Médaillon";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"";"";"Royal Red Persian"
"ir-3";"Tapis Persan Turquoise";"tapis-persan-turquoise";"Tapis & Qali";"ir-3.jpg";"Le turquoise ne court pas les rues chez les tapis. Celui-ci attire l'œil sans crier.";"Iran";"Iran · Persan";"Polypropylène haute densité";"700 · 1200 · 1500 shana";"Médaillon";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"oui";"Rare";"Turquoise Persian Rug"
"ir-4";"Tapis Persan Or & Ivoire";"tapis-persan-or-ivoire";"Tapis & Qali";"ir-4.jpg";"Champ ivoire posé sur un fond sombre, dessin or fin comme une enluminure. Le tapis de la pièce maîtresse.";"Iran";"Iran · Persan";"Polypropylène haute densité";"700 · 1200 · 1500 shana";"Médaillon";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"oui";"";"Gold & Ivory Persian"
"ir-5";"Tapis Persan Marine";"tapis-persan-marine";"Tapis & Qali";"ir-5.jpg";"Bleu marine et touches grenat, médaillon dense. Sobre le jour, profond le soir.";"Iran";"Iran · Persan";"Polypropylène haute densité";"700 · 1200 · 1500 shana";"Médaillon";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"";"";"Navy Persian Rug"
"ir-6";"Tapis Persan Crème";"tapis-persan-creme";"Tapis & Qali";"ir-6.jpg";"Champ crème, médaillon classé et bordure nette. Il s'accorde à tout, sans effort.";"Iran";"Iran · Persan";"Polypropylène haute densité";"700 · 1200 · 1500 shana";"Médaillon";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"";"";"Cream Persian Rug"
"ir-7";"Tapis Persan Isfahan";"tapis-persan-isfahan";"Tapis & Qali";"ir-7.jpg";"Pas de médaillon mais un dessin tout-en-un, fin et régulier. La densité fait tout le travail.";"Iran";"Iran · Persan";"Polypropylène haute densité";"700 · 1200 · 1500 shana";"Médaillon";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"";"";"Isfahan Persian Rug"
"to-blue";"Toshak Kabuli Bleu Ciel";"toshak-kabuli-bleu-ciel";"Toshak & Majlis";"to-blue.jpg";"Bleu clair et médaillon argent, léger à l'œil. Il éclaire un coin salon.";"Afghanistan";"Afghanistan";"Velours façonné";"";"Set kabuli";"";"";"";"";"Matelas + traversin + 2 coussins";"sur demande";"";"";"";"Sky-blue Kabuli Toshak"
"to-azure";"Toshak Kabuli Azur";"toshak-kabuli-azur";"Toshak & Majlis";"to-azure.jpg";"Bleu franc, dessin blanc très graphique. Le set qui structure la pièce.";"Afghanistan";"Afghanistan";"Velours façonné";"";"Set kabuli";"";"";"";"";"Matelas + traversin + 2 coussins";"sur demande";"";"";"";"Azure Kabuli Toshak"
"to-burg";"Toshak Kabuli Bordeaux";"toshak-kabuli-bordeaux";"Toshak & Majlis";"to-burg.jpg";"Bordeaux profond et médaillon crème — l'assise chaleureuse autour de laquelle on reçoit.";"Afghanistan";"Afghanistan";"Velours façonné";"";"Set kabuli";"";"";"";"";"Matelas + traversin + 2 coussins";"sur demande";"";"oui";"";"Burgundy Kabuli Toshak"
"to-red";"Toshak Kabuli Rouge";"toshak-kabuli-rouge";"Toshak & Majlis";"to-red.jpg";"Rouge classique, motif dense, finitions soignées. Le toshak qui ne se démode pas.";"Afghanistan";"Afghanistan";"Velours façonné";"";"Set kabuli";"";"";"";"";"Matelas + traversin + 2 coussins";"sur demande";"";"";"";"Red Kabuli Toshak"
"dec-green";"Sarqalini Vert";"sarqalini-vert";"Textiles & Décor";"dec-green.jpg";"Vert profond et médaillon central — une couleur qu'on voit rarement sur un surtapis.";"Oriental";"Oriental";"Velours, motif médaillon";"";"Velours";"";"";"≈ 230 × 150 cm";"";"";"sur demande";"";"oui";"Rare";"Green Sarqalini"
"dec-grey";"Sarqalini Gris";"sarqalini-gris";"Textiles & Décor";"dec-grey.jpg";"Gris ardoise, médaillon crème et franges. Discret, il se marie avec n'importe quel tapis.";"Oriental";"Oriental";"Velours, motif médaillon";"";"Velours";"";"";"≈ 230 × 150 cm";"";"";"sur demande";"";"";"";"Grey Sarqalini"
"kw-serve";"Service à Servir Doré";"service-a-servir-dore";"Art de la Table";"kw-serve.jpg";"Louches et cuillères de service dorées sur présentoir — le geste de la grande tablée.";"Art de la table";"Art de la table";"Inox finition or, support";"";"Sur présentoir";"";"";"";"";"Louches & cuillères de service";"sur demande";"";"";"";"Gold Serving Set"
"kw-silver";"Couverts Argentés";"couverts-argentes";"Art de la Table";"kw-silver.jpg";"La version argent du service sur présentoir, pour qui préfère le sobre au doré.";"Art de la table";"Art de la table";"Inox poli, présentoir";"";"6 / 12 couverts";"";"";"";"";"6 ou 12 couverts";"sur demande";"";"oui";"Argent";"Silver Cutlery Set"
"kw-traysset";"Plateaux Rectangulaires";"plateaux-rectangulaires";"Art de la Table";"kw-traysset.jpg";"Trois plateaux gigognes à liseré or, du café du matin au plateau de fruits secs du soir.";"Art de la table";"Art de la table";"Métal ciselfé, liseré or";"";"Lot de 3";"";"";"Lot de 3 tailles";"";"";"sur demande";"";"";"";"Rectangular Tray Set"
"kw-tray-oval";"Plateau Ovale Ciselé";"plateau-ovale-cisele";"Art de la Table";"kw-tray-oval.jpg";"Plateau ovale au bord ciselfé, pour présenter thé et douceurs avec un peu de cérémonie.";"Art de la table";"Art de la table";"Métal ouvragé, or & argent";"";"Ovale";"";"";"Ovale";"";"";"sur demande";"";"";"";"Oval Chased Tray"
"r-008";"Tapis Persan Médaillon Tabriz";"tapis-persan-medaillon-tabriz";"Tapis & Qali";"r-008.jpg";"Rouge garance profond, médaillon ivoire ciselé, champ fleuri à perte de vue. La pièce maîtresse — celle qui ancre un salon et donne le ton au reste. À 1 200 shana, le dessin reste net jusqu'au plus petit pétale.";"Iran";"Iran · Persan";"100% acrylique";"1200 shana · densité 3 600";"Médaillon floral";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"690 € / pièce";"Le médaillon central est la signature de Tabriz, ville qui tisse depuis le XVᵉ siècle. Le dessin est ici repris sur métier moderne, fidèle au tracé d'origine — l'élégance d'un grand tapis de cour, sans le prix d'un noué main.";"oui";"";"Tabriz Medallion Rug"
"r-002";"Tapis Persan Médaillon Argent";"tapis-persan-medaillon-argent";"Tapis & Qali";"r-002.jpg";"Argent et perle, médaillon central rayonnant, arabesques tout autour. Lumineux, il agrandit la pièce sans jamais l'alourdir — parfait pour un séjour clair.";"Iran";"Iran · Persan";"100% acrylique";"700 shana · densité 2 550";"Médaillon classique";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"329 € / pièce";"L'argent et la perle n'ont jamais été des couleurs de tapis ordinaires : on les réservait aux pièces de réception, là où la lumière devait circuler. Ce médaillon perpétue l'idée — un tapis qui éclaire plutôt qu'il n'assombrit.";"";"";"Silver Medallion Rug"
"r-013";"Tapis Persan Médaillon Nuit";"tapis-persan-medaillon-nuit";"Tapis & Qali";"r-013.jpg";"Bleu nuit, médaillon clair posé en son centre, bordure dense. La sobriété persane dans ce qu'elle a de plus juste : il habille sans crier.";"Iran";"Iran · Persan";"100% acrylique";"1200 shana · densité 3 600";"Médaillon sur champ";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"650 € / pièce";"Le bleu de nuit vient de l'indigo, ce pigment qui voyageait de Kaboul à Ispahan sur la route des caravanes. Sur ce champ profond, le médaillon clair fait l'effet d'une lune au centre d'un ciel : sobre, jamais froid.";"";"";"Night Medallion Rug"
"r-003";"Tapis Persan Médaillon Perle";"tapis-persan-medaillon-perle";"Tapis & Qali";"r-003.jpg";"Champ perle, médaillon marine finement dessiné, écoinçons assortis. Discret le jour, profond le soir — un classique qui ne se démode pas.";"Iran";"Iran · Persan";"100% acrylique";"700 shana · densité 2 550";"Médaillon fin";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"329 € / pièce";"Les écoinçons — ces quarts de médaillon posés dans les angles — sont un test de tisserand : les quatre coins doivent répondre au centre. Ici l'équilibre tient, et c'est de là que vient la tranquillité du tapis.";"";"";"Pearl Medallion Rug"
"r-015";"Tapis Persan Herati Nuit";"tapis-persan-herati-nuit";"Tapis & Qali";"r-015.jpg";"Le semis herati — poisson et rosette — répété sur tout le champ marine. Pas de médaillon : le regard circule librement. La densité 3 600 garde chaque motif net.";"Iran";"Iran · Persan";"100% acrylique";"1200 shana · densité 3 600";"Semis herati";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"650 € / pièce";"Le herati, poisson et rosette enlacés, est le motif le plus répandu de tout l'Orient du tapis — de Herat, dont il porte le nom, jusqu'aux ateliers persans. Répété sans fin, il raconte l'eau et le jardin.";"";"";"Herati Night Rug"
"r-010";"Tapis Turc Médaillon Géométrique";"tapis-turc-medaillon-geometrique";"Tapis & Qali";"r-010.jpg";"Anthracite et lignes franches, médaillon étagé presque architectural. Le tapis turc qui parle aux intérieurs d'aujourd'hui — graphique, posé, jamais bavard.";"Turquie";"Turquie · Turc";"100% acrylique";"1200 shana · densité 3 600";"Lignes contemporaines";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"690 € / pièce";"L'Anatolie a toujours préféré la ligne à la courbe : là où la Perse fleurit, le tapis turc construit. Ce médaillon étagé, presque architectural, vient de cette école — et c'est ce qui le rend si juste dans un intérieur d'aujourd'hui.";"oui";"";"Geometric Medallion Rug"
"r-006";"Tapis Turc Médaillon Ardoise";"tapis-turc-medaillon-ardoise";"Tapis & Qali";"r-006.jpg";"Ardoise et crème, motif dense et bordure travaillée. Un format passe-partout qui se pose vraiment partout : entrée, chambre, bureau.";"Turquie";"Turquie · Turc";"100% acrylique";"700 shana · densité 2 550";"Médaillon dense";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"329 € / pièce";"L'ardoise et la crème, c'est la palette des hauts plateaux turcs en hiver. Discrète, dense, faite pour durer. Un tapis qui ne cherche pas à se faire remarquer — et qu'on remarque quand même.";"";"";"Slate Medallion Rug"
"r-005";"Tapis Turc Champ Minuit";"tapis-turc-champ-minuit";"Tapis & Qali";"r-005.jpg";"Bleu minuit couvert d'un semis floral serré. Le dessin court d'un bord à l'autre, calme et régulier — il réchauffe une pièce sans la charger.";"Turquie";"Turquie · Turc";"100% acrylique";"700 shana · densité 2 550";"Semis floral";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"329 € / pièce";"Pas de médaillon, pas de hiérarchie : le semis couvre tout le champ, d'un bord à l'autre. C'est la tradition des tapis de prière et des kilims, où le regard ne s'arrête nulle part et se repose partout.";"";"";"Midnight Field Rug"
"r-014";"Tapis Turc Médaillon Émeraude";"tapis-turc-medaillon-emeraude";"Tapis & Qali";"r-014.jpg";"L'émeraude ne court pas les tapis. Médaillon central, palette forêt et or — il attire l'œil sans hausser le ton. La pièce qui fait la différence dans un salon sobre.";"Turquie";"Turquie · Turc";"100% acrylique";"1200 shana · densité 3 600";"Couleur rare";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"720 € / pièce";"Le vert est la couleur la plus difficile à tenir en teinture : il vire, il passe. Un tapis vraiment émeraude a toujours valu cher. Celui-ci garde sa couleur forêt et son or, et fait la différence dans une pièce sobre.";"oui";"";"Emerald Medallion Rug"
"r-012";"Tapis Afghan Garance Abstrait";"tapis-afghan-garance-abstrait";"Tapis & Qali";"r-012.jpg";"Rouge garance travaillé en volutes, presque effacé par endroits — l'allure d'un tapis qui a déjà vécu. L'esprit afghan, version contemporaine : chaleureux, vivant, jamais figé.";"Afghanistan";"Afghanistan · Afghan";"100% acrylique";"1200 shana · densité 3 600";"Champ patiné";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"449 € / pièce";"La garance, racine rouge cultivée de l'Afghanistan à l'Anatolie, donne le rouge le plus chaud du tapis oriental. Travaillé en volutes presque effacées, ce champ a l'allure d'une pièce qui a déjà vécu : l'esprit afghan, sans le poids des siècles.";"oui";"";"Madder Abstract Rug"
"r-016";"Tapis Afghan Médaillon Bordeaux";"tapis-afghan-medaillon-bordeaux";"Tapis & Qali";"r-016.jpg";"Bordeaux profond, médaillon clair finement ciselé. La chaleur d'un rouge oriental servie par la finesse d'un 1 200 shana — une présence forte dans un grand séjour.";"Afghanistan";"Afghanistan · Afghan";"100% acrylique";"1200 shana · densité 3 600";"Médaillon ciselé";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"650 € / pièce";"Le rouge afghan n'est jamais criard : il tire vers le bordeaux, la grenade, la terre cuite. Sur ce médaillon ciselé, la chaleur d'un rouge d'Orient rencontre la finesse d'une trame serrée.";"";"";"Bordeaux Medallion Rug"
"r-001";"Tapis Afghan Champ Indigo";"tapis-afghan-champ-indigo";"Tapis & Qali";"r-001.jpg";"Indigo sombre et semis serré, sans centre ni hiérarchie. Le tapis qu'on regarde de près, là où la densité se lit vraiment — sobre, profond, facile à marier.";"Afghanistan";"Afghanistan · Afghan";"100% acrylique";"700 shana · densité 2 550";"Semis dense";"9 ±1 mm";"Tissage mécanique haute densité";"300×400 · 250×350 · 200×300 · 150×225 · 100×200 cm";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"249 € / pièce";"Regardez-le de près : c'est là que tout se joue. Sans centre ni médaillon, ce semis indigo ne tient que par la densité de son dessin. Les Afghans disent qu'un bon tapis se lit comme un livre — celui-ci se lit au plus près.";"";"";"Indigo Field Rug"
"r-018";"Moquette Damier Garance";"moquette-damier-garance";"Tapis & Qali";"r-018.jpg";"Damier graphique aux tons brique et sable, posé mur à mur. Pour habiller une pièce entière dans l'esprit du tapis — vendu au mètre carré, coupé à votre surface.";"Roy Farshi";"Roy Farshi · sur-mesure";"100% acrylique";"Acrylique · grande largeur";"Au mètre";"9 ±1 mm";"Moquette tuftée, grande largeur";"Au mètre, sur-mesure (rouleau)";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"39 € / m²";"« Roy farshi » désigne, mot pour mot, ce qui se pose au sol. En Afghanistan, couvrir toute une pièce de tapis n'est pas un luxe mais une manière d'habiter : on s'assoit, on reçoit, on vit au sol. Ce damier reprend l'idée en grande largeur.";"";"";"Madder Check Broadloom"
"r-019";"Moquette Patchwork Indigo";"moquette-patchwork-indigo";"Tapis & Qali";"r-019.jpg";"Carreaux indigo et blancs, esprit azulejos, en grande largeur. Moderne et graphique — idéal pour une chambre d'enfant ou un bureau.";"Roy Farshi";"Roy Farshi · sur-mesure";"100% acrylique";"Acrylique · grande largeur";"Au mètre";"9 ±1 mm";"Moquette tuftée, grande largeur";"Au mètre, sur-mesure (rouleau)";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"39 € / m²";"Le patchwork de carreaux vient des vieux tapis rapiécés, où chaque morceau racontait une autre histoire. Ici l'effet est voulu, graphique, en indigo et blanc : l'esprit d'autrefois pour une chambre d'aujourd'hui.";"";"";"Indigo Patchwork Broadloom"
"r-020";"Moquette Floral Garance";"moquette-floral-garance";"Tapis & Qali";"r-020.jpg";"Champ rouge couvert de fleurs fines, chaleureux et dense. Le classique oriental, version mur à mur — chaleur immédiate, entretien facile.";"Roy Farshi";"Roy Farshi · sur-mesure";"100% acrylique";"Acrylique · grande largeur";"Au mètre";"9 ±1 mm";"Moquette tuftée, grande largeur";"Au mètre, sur-mesure (rouleau)";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"42 € / m²";"Couvrir un sol de fleurs, du mur au mur : c'est la version la plus généreuse du tapis oriental. Ce champ rouge fleuri réchauffe d'un coup un grand volume, et se vit pieds nus.";"oui";"";"Madder Floral Broadloom"
"r-021";"Moquette Jardin Rouge";"moquette-jardin-rouge";"Tapis & Qali";"r-021.jpg";"Variante jardin, fleurs serrées sur fond garance. Une surface qui réchauffe instantanément un grand volume.";"Roy Farshi";"Roy Farshi · sur-mesure";"100% acrylique";"Acrylique · grande largeur";"Au mètre";"9 ±1 mm";"Moquette tuftée, grande largeur";"Au mètre, sur-mesure (rouleau)";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"42 € / m²";"Le jardin — bagh en persan — est le motif fondateur du tapis : un paradis clos, dessiné pour être traversé du regard. Cette moquette en reprend la promesse sur toute la surface d'une pièce.";"";"";"Red Garden Broadloom"
"r-022";"Moquette Panneaux Or";"moquette-panneaux-or";"Tapis & Qali";"r-022.jpg";"Panneaux carrés or et nuit, presque marqueterie. Une moquette qui se regarde comme un parquet précieux — pour une pièce qui en impose.";"Roy Farshi";"Roy Farshi · sur-mesure";"100% acrylique";"Acrylique · grande largeur";"Au mètre";"9 ±1 mm";"Moquette tuftée, grande largeur";"Au mètre, sur-mesure (rouleau)";"Aspirateur doux, sans brosse rotative ; taches : chiffon humide ; nettoyage à sec recommandé.";"";"45 € / m²";"Les panneaux carrés évoquent la marqueterie des plafonds de palais, où chaque caisson était traité comme un petit tableau. Posée au sol en or et nuit, cette moquette se regarde comme un parquet précieux.";"";"";"Gold Panels Broadloom"
